work_year,experience_level,job_title,salary_in_usd,remote_ratio,company_location,company_size
2022,0,6,100000,50,2,2
2022,1,2,54957,50,2,2
2022,0,4,18442,100,1,1
2022,2,6,162674,100,2,1
2022,0,2,120000,100,2,1
2022,2,7,144000,50,2,2
2022,2,4,104890,100,2,1
2022,2,2,100000,100,2,1
2022,2,4,140000,100,2,1
2022,1,0,135000,100,2,1
2022,1,0,50000,100,2,1
2022,2,4,220000,100,2,1
2022,2,4,140000,100,2,1
2022,1,4,183228,0,2,1
2022,1,4,91614,0,2,1
2022,2,4,185100,100,2,1
2022,2,5,220000,100,2,1
2022,1,4,200000,100,2,1
2022,1,4,120000,100,2,1
2022,2,5,120000,100,0,0
2022,2,5,65000,100,0,0
2022,3,2,280911,100,2,1
2022,3,2,216000,100,2,1
2022,2,2,210000,100,2,1
2022,2,5,120000,100,2,1
2022,2,4,230000,100,2,1
2022,0,4,100000,50,0,1
2022,1,4,100000,100,2,1
2022,0,6,31875,100,1,1
2022,2,6,200000,100,2,1
2022,1,6,75000,100,2,0
2022,1,4,35590,100,1,2
2022,2,6,78791,100,2,1
2022,2,4,100000,100,2,1
2022,1,6,153000,50,2,1
2022,0,2,58035,100,2,1
2022,2,4,165000,100,2,1
2022,2,7,93427,50,2,2
2022,0,4,52396,100,2,2
2022,2,5,62651,100,2,2
2022,1,6,32974,100,0,0
2022,0,4,40000,100,0,2
2022,1,5,87425,100,2,2
2022,2,2,115000,100,2,1
2022,0,4,86703,50,2,1
2022,1,6,75000,100,2,2
2022,1,7,64849,0,2,2
2022,0,7,120000,100,2,2
2022,1,6,157000,100,2,2
2022,0,6,150000,100,2,0
2022,1,6,70912,50,2,2
2022,0,2,65000,100,2,0
2022,2,5,71444,100,2,0
2022,0,6,20000,0,0,1
2022,1,4,48000,100,2,0
2022,2,3,152500,100,2,1
2022,1,2,68147,100,2,1
2022,1,4,122346,0,2,2
2022,2,6,280911,100,2,2
2022,1,4,69336,100,2,1
2022,0,6,10000,100,0,1
2022,1,0,20000,100,1,0
2022,2,6,280911,100,2,2
2022,1,4,135000,100,2,2
2022,2,6,177000,100,2,2
2022,1,4,78000,100,2,1
2022,2,0,135000,100,2,1
2022,2,0,100000,100,2,1
2022,2,0,90320,100,2,1
2022,1,0,85000,0,2,1
2022,1,0,75000,0,2,1
2022,2,5,214000,100,2,1
2022,2,5,192600,100,2,1
2022,2,1,266400,100,2,1
2022,2,1,213120,100,2,1
2022,2,0,112900,100,2,1
2022,2,2,155000,100,2,1
2022,1,4,141300,0,2,1
2022,1,4,102100,0,2,1
2022,2,0,115934,100,2,1
2022,2,0,81666,100,2,1
2022,1,2,206699,0,2,1
2022,1,2,99100,0,2,1
